Время (с),Координата X (м),Координата Y (м),Координата Z (м)
363660.0,6606500.402796583,14638362.67110611,-21149428.80619992
363720.0,6445291.191146532,14647144.205332875,-21193011.925000705
363780.0,6283790.939978258,14656496.035685493,-21234971.243657667
363840.0,6122013.927591933,14666420.107082441,-21275303.54420057
363900.0,5959974.464573093,14676918.206478821,-21314005.733320445
363960.0,5797686.891585902,14687991.96249065,-21351074.842607334
364020.0,5635165.57716248,14699642.845047278,-21386508.02877853
364080.0,5472424.915486469,14711872.165072754,-21420302.573897216
364140.0,5309479.324173544,14724681.074195292,-21452455.885581505
364200.0,5146343.242047335,14738070.56448574,-21482965.497203864
364260.0,4983031.126912409,14752041.46822441,-21511829.06808096
364320.0,4819557.453324299,14766594.457696741,-21539044.383653812
364380.0,4655936.710356182,14781730.045017753,-21564609.355658304
364440.0,4492183.399364644,14797448.581985008,-21588522.022286005
364500.0,4328312.031752018,14813750.259960735,-21610780.54833541
364560.0,4164337.126728441,14830635.109782396,-21631383.22535334
364620.0,4000273.2090721233,14848103.001702366,-21650328.47176676
364680.0,3836134.806889346,14866153.645356221,-21667614.833004802
364740.0,3671936.4493734017,14884786.589760128,-21683240.981611155
364800.0,3507692.664564553,14904001.223336805,-21697205.717346627
364860.0,3343417.9771094723,14923796.773970561,-21709507.967282016
364920.0,3179126.906022054,14944172.309091022,-21720146.785881262
364980.0,3014833.9624451846,14965126.735785749,-21729121.35507478
365040.0,2850553.647413948,14986658.800941681,-21736430.984323088
365100.0,2686300.449621179,15008767.091415258,-21742075.11067064
365160.0,2522088.843184731,15031450.034231445,-21746053.298789937
365220.0,2357933.285418046,15054705.896811325,-21748365.24101577
365280.0,2193848.2146032196,15078532.787228523,-21749010.757369787
365340.0,2029848.047767997,15102928.65449414,-21747989.795575265
365400.0,1865947.178466504,15127891.288870346,-21745302.43106203
365460.0,1702159.9745634727,15153418.322212571,-21740948.866961706
365520.0,1538500.7760244566,15179507.228339992,-21734929.434093084
365580.0,1374983.8927094773,15206155.323434666,-21727244.590937786
365640.0,1211623.6021732902,15233359.766468834,-21717894.923606113
365700.0,1048434.1474701308,15261117.559660614,-21706881.145793125
365760.0,885429.7349658539,15289425.548957834,-21694204.098724958
365820.0,722624.5321552134,15318280.424550015,-21679864.751095362
365880.0,560032.6654872247,15347678.721408343,-21663864.19899248
365940.0,397668.21819635667,15377616.819853673,-21646203.665815864
366000.0,235545.22814263636,15408090.946152268,-21626884.50218375
366060.0,73677.68565874267,15439097.173139313,-21605908.18583057
366120.0,-87920.4685943881,15470631.420870109,-21583276.32149472
366180.0,-249235.3457630179,15502689.45729875,-21558990.640796624
366240.0,-410253.11092741555,15535266.898984177,-21533053.00210705
366300.0,-570959.9852190008,15568359.21182359,-21505465.390405726
366360.0,-731342.2479280354,15601961.711812938,-21476229.91713024
366420.0,-891386.2386008371,15636069.56583452,-21445348.82001528
366480.0,-1051078.359126958,15670677.792471418,-21412824.462922122
366540.0,-1210405.0758154332,15705781.262848714,-21378659.335658565
366600.0,-1369352.9214594425,15741374.7015013,-21342856.053789064
366660.0,-1527908.4973903052,15777452.687268179,-21305417.358435377
366720.0,-1686058.475518635,15814009.65421304,-21266346.116067484
366780.0,-1843789.6003643447,15851039.892570991,-21225645.31828487
366840.0,-2001088.6910728882,15888537.549721312,-21183318.08158836
366900.0,-2157942.6434200066,15926496.63118596,-21139367.64714218
366960.0,-2314338.431801765,15964911.001653828,-21093797.380526643
367020.0,-2470263.1112123597,16003774.386030331,-21046610.77148116
367080.0,-2625703.8192070997,16043080.370512437,-20997811.433637746
367140.0,-2780647.7778513907,16082822.403688703,-20947403.104245126
367200.0,-2935082.2956556208,16122993.797664244,-20895389.64388322
367260.0,-3088994.7694942025,16163587.729210485,-20841775.036168233
367320.0,-3242372.6865104744,16204597.240939338,-20786563.38744832
367380.0,-3395203.6260050777,16246015.24250184,-20729758.926489763
367440.0,-3547475.2613092773,16287834.511810742,-20671366.004153866
367500.0,-3699175.361641337,16330047.696287174,-20611389.09306435
367560.0,-3850291.793947003,16372647.314130887,-20549832.787265494
367620.0,-4000812.524723065,16415625.755613972,-20486701.801870905
367680.0,-4150725.6218232354,16458975.284397945,-20422000.97270305
367740.0,-4300019.256247666,16502688.038873691,-20355735.255923416
367800.0,-4448681.703913404,16546756.033524377,-20287909.727653567
367860.0,-4596701.347408183,16591171.16031072,-20218529.583586853
367920.0,-4744066.677724607,16635925.190078782,-20147600.13859105
367980.0,-4890766.295976738,16681009.773989744,-20075126.82630173
368040.0,-5036788.915097197,16726416.444971422,-20001115.198706657
368100.0,-5182123.361515234,16772136.619191533,-19925570.925720926
368160.0,-5326758.576815157,16818161.597552225,-19848499.794753164
368220.0,-5470683.619375173,16864482.567205623,-19769907.710262645
368280.0,-5613887.665986319,16911090.60309017,-19689800.693307422
368340.0,-5756360.013450478,16957976.66948769,-19608184.881083503
368400.0,-5898090.0801586425,17005131.62160043,-19525066.5264551
368460.0,-6039067.4076474225,17052546.207148433,-19440451.99747595
368520.0,-6179281.662135267,17100211.06798629,-19354347.77690187
368580.0,-6318722.636036661,17148116.74173969,-19266760.46169437
368640.0,-6457380.249454927,17196253.663460862,-19177696.762515582
368700.0,-6595244.551653428,17244612.16730295,-19087163.503214408
368760.0,-6732305.722503858,17293182.488213167,-18995167.620303977
368820.0,-6868554.073913102,17341954.763643898,-18901716.1624304
368880.0,-7003980.0512265535,17390919.035282224,-18806816.289832927
368940.0,-7138574.234609412,17440065.250796698,-18710475.273795545
369000.0,-7272327.340404106,17489383.26560194,-18612700.496089946
369060.0,-7405230.222464868,17538862.844640046,-18513499.448410105
369120.0,-7537273.873468806,17588493.664178837,-18412879.731798284
369180.0,-7668449.426202824,17638265.31362664,-18310849.05606274
369240.0,-7798748.154826677,17688167.2973633,-18207415.23918696
369300.0,-7928161.476112053,17738189.036586884,-18102586.206730586
369360.0,-8056680.950657138,17788319.87117586,-17996369.991222125
369420.0,-8184298.284076155,17838549.06156684,-17888774.731543344
369480.0,-8311005.328164834,17888865.790646695,-17779808.67230553
369540.0,-8436794.082040038,17939259.165659733,-17669480.163217563
369600.0,-8561656.693255004,17989718.2201286,-17557797.658445917
369660.0,-8685585.458888378,18040231.91578955,-17444769.71596661
369720.0,-8808572.826608252,18090789.14454095,-17330404.996909175
369780.0,-8930611.395710366,18141378.73040499,-17214712.264892656
369840.0,-9051693.91812982,18191989.4315026,-17097700.385353748
369900.0,-9171813.2994277,18242609.942040425,-16979378.324867014
369960.0,-9290962.599750236,18293228.89431052,-16859755.150457393
370020.0,-9409135.034762673,18343834.860701337,-16738840.028904922
370080.0,-9526323.976555573,18394416.355720744,-16616642.226041783
370140.0,-9642522.954525016,18444961.838029824,-16493171.106041685
370200.0,-9757725.656225737,18495459.712487504,-16368436.130701745
370260.0,-9871925.92819721,18545898.33220584,-16242446.858716737
370320.0,-9985117.776762415,18596266.00061526,-16115212.944945902
370380.0,-10097295.368799407,18646550.97353947,-15986744.139672434
370440.0,-10208453.032485835,18696741.46127972,-15857050.287855493
370500.0,-10318585.2580151,18746825.630708355,-15726141.32837492
370560.0,-10427686.698285662,18796791.607370533,-15594027.293268852
370620.0,-10535752.169561855,18846627.477594785,-15460718.30696392
370680.0,-10642776.652107516,18896321.290610902,-15326224.58549857
370740.0,-10748755.29079083,18945861.060675904,-15190556.435739076
370800.0,-10853683.39566167,18995234.769206863,-15053724.254588747
370860.0,-10957556.44250065,19044430.366920494,-14915738.528190127
370920.0,-11060370.073339466,19093435.77597958,-14776609.831120145
370980.0,-11162120.096953522,19142238.89214489,-14636348.825578757
371040.0,-11262802.489325283,19190827.58693338,-14494966.260570582
